X--Trace 1::[V(vout)],Y--Trace 1::[V(vout)]
0.001002622,-0.765283871
0.001005244,-0.681482557
0.001010487,-0.526404108
0.001020972,-0.260400831
0.001041944,0.133263417
0.001066944,0.42995805
0.001091944,0.60797483
0.001116944,0.714784898
0.001125001,0.738677084
0.001125001,0.738677307
0.001125001,0.738677652
0.001125002,0.738677743
0.001125002,0.738677286
0.001125002,0.738677104
0.001125002,0.73867674
0.001125003,0.738676013
0.001125003,0.738674558
0.001125004,0.738671648
0.001125007,0.738665828
0.001125012,0.738654189
0.001125022,0.738630915
0.001125043,0.738584381
0.001125084,0.738491371
0.001125166,0.738305579
0.00112533,0.737934907
0.001125657,0.737197194
0.001126313,0.735736178
0.001127623,0.732870851
0.001130245,0.727359782
0.001135488,0.717161276
0.001145973,0.699667962
0.001166945,0.673779213
0.001191945,0.654267528
0.001216945,0.642560516
0.001241945,0.63553631
0.00125,0.633965436
0.00125,0.633965468
0.00125,0.633965632
0.001250001,0.633966561
0.001250001,0.633967782
0.001250001,0.633968104
0.001250001,0.633968619
0.001250002,0.633968881
0.001250002,0.63396757
0.001250002,0.633967239
0.001250002,0.633966576
0.001250002,0.63396525
0.001250003,0.633962598
0.001250004,0.633957295
0.001250006,0.633946688
0.00125001,0.633925476
0.001250018,0.633883057
0.001250035,0.63379824
0.001250067,0.63362869
0.001250133,0.633289922
0.001250264,0.632613717
0.001250526,0.63126661
0.001251051,0.628593475
0.001252099,0.623330422
0.001254196,0.613128636
0.001258391,0.593957072
0.001266779,0.560065225
0.001283556,0.506889111
0.001308556,0.454133467
0.001333556,0.42248008
0.001358556,0.403488048
0.001375001,0.395441726
0.001375001,0.395441636
0.001375001,0.395441354
0.001375002,0.39544019
0.001375002,0.395438793
0.001375002,0.39543836
0.001375002,0.395437494
0.001375003,0.395435764
0.001375003,0.395432302
0.001375004,0.395425379
0.001375007,0.395411534
0.001375012,0.395383845
0.001375022,0.395328476
0.001375043,0.395217772
0.001375084,0.3949965
0.001375166,0.3945545
0.00137533,0.393672669
0.001375657,0.391917647
0.001376313,0.388441882
0.001377623,0.381625258
0.001380245,0.368514397
